chunk,breath
1,17.140641158221303
2,14.608695652173907
3,13.684210526315791
4,16.767432486900443
5,15.685748759887383
6,17.22107742125403
7,14.812805208898537
8,13.505594033031432
9,14.601272931486355
10,16.27347135291286
11,13.6842105263158
12,12.555629201780127
13,11.466696822345376
14,13.743781094527355
15,15.305174016317283
16,14.993929583164755
17,15.006075334143379
18,10.752916224814404
19,14.214842563531459
20,16.049382716049394
21,14.08989480395287
22,15.528080469404891
23,15.336851909344931
24,12.06185567010307
25,16.317991631799107
